# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Exports
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=5)
"Exports";"Cons.CloFoo";"Cons.HCR";"InvtoSales";"Gov.Nat";"BM"
-2.94901365;0.861283977;-12.03454505;-0.003;-0.871836341;-0.415959844
13.62061723;11.09550662;8.345866201;0.003;-9.110797128;-5.774743029
-7.719190565;16.27214751;7.466966459;0.031;-4.489575096;-4.134567218
4.971475277;-4.599895292;-7.969755432;0.001;2.885892924;-3.210725441
9.610822265;0.187514653;16.05577013;-0.038;2.512391019;-3.980461925
11.99431472;7.858555801;-0.4836029;-0.006;6.865977016;3.500686091
5.922510799;2.565285934;-4.226087272;-0.034;11.61059307;5.84472653
-8.296300653;7.359580251;8.228377574;0.001;-0.385387424;1.354123427
9.842201849;-2.458225529;8.590377547;-0.007;10.77805122;0.914810974
-20.90451754;-7.160385377;-7.902295405;0.009;3.363719892;-1.458160354
9.176714922;3.171231735;12.53504559;0.008;3.39717916;-2.451005596
13.07915526;-7.727931258;-2.469950821;-0.034;-1.417130256;1.993404589
11.27247928;4.189165041;6.046038087;0.007;5.379906753;0.698530063
-9.231222163;10.1654238;4.993110235;0.01;2.00463611;-1.403402761
15.33113769;3.094793001;-6.92137961;-0.011;9.298391783;-0.603326413
5.101430144;-4.771191204;6.297088904;0.006;-17.90383775;1.179824796
4.551273888;1.317761;-8.002848419;0.005;1.483142559;-2.176011296
1.413381917;4.164225593;-3.959851818;0.002;4.980621022;-0.707645574
16.99567139;5.816361569;1.460388625;-0.007;-2.26041075;2.239092886
-2.811197428;10.81769035;-0.320828338;0.002;11.66765109;-3.039383898
6.594704024;8.815010395;3.023050506;-0.007;2.018032993;3.35049178
13.11168977;-7.059006725;11.86878314;-0.013;4.445144362;-1.141131097
-2.596057377;-5.005041839;11.63597527;0.011;-3.927440675;1.432916729
11.506383;5.174569284;1.879664303;0.014;1.872918053;0.100190879
5.355366677;3.991319744;0.868739313;-0.011;-1.223039762;-1.465209487
